name,group_type,is_phishing_email_1,is_phishing_email_2,is_phishing_email_3,is_phishing_email_4,is_phishing_email_5,is_phishing_email_6,is_phishing_email_7,is_phishing_email_8,is_phishing_email_9,is_phishing_email_10,response_time_email_1,response_time_email_2,response_time_email_3,response_time_email_4,response_time_email_5,response_time_email_6,response_time_email_7,response_time_email_8,response_time_email_9,response_time_email_10,confidence_level_email_1,confidence_level_email_2,confidence_level_email_3,confidence_level_email_4,confidence_level_email_5,confidence_level_email_6,confidence_level_email_7,confidence_level_email_8,confidence_level_email_9,confidence_level_email_10,helpfulness
AA,word2vec,true,true,true,true,true,true,false,false,false,false,24201,18406,76114,43814,46413,34704,14416,59414,52902,39901,4,4,3,3,3,1,4,3,3,3,3
Abraham,lime,false,true,true,false,true,false,false,false,false,false,13311,4301,8605,12111,6801,6501,5203,9803,9906,6907,4,4,4,4,4,4,5,5,4,4,4
Aca,word2vec,true,true,true,true,true,true,false,false,false,false,3432,5440,5246,6351,2925,8258,6254,3530,3120,2322,5,5,5,5,5,5,5,5,5,5,5
Ahza,control,true,false,false,true,true,false,false,false,false,false,15601,46501,20801,38201,15300,15701,14701,11801,42200,11901,4,2,4,3,4,5,5,4,3,5,
Alex,lime,false,true,true,true,true,true,false,false,false,false,17240,37023,5752,29400,3838,14632,7873,10996,8579,40985,4,5,5,5,5,5,5,5,3,4,5
Alicee,control,false,true,true,true,true,false,false,false,false,false,43800,29700,63200,24000,53000,9500,50501,19900,14500,14501,3,5,5,5,5,5,5,5,5,1,
almaas,word2vec,true,true,true,true,false,false,false,false,false,false,5006,6401,22300,16913,10305,11501,10401,7511,5504,4807,5,5,4,5,3,2,5,5,5,5,2
Amel,word2vec,true,true,false,true,false,true,false,false,false,false,10085,12204,7573,10992,13310,30746,15111,10487,9979,7370,3,4,4,5,4,3,5,5,4,5,4
Anabelle Elizabeth,lime,true,false,true,true,true,false,false,false,false,false,9237,27024,6845,9757,2270,9962,15689,15794,5702,12252,4,2,3,4,5,3,4,4,4,4,5
Andrew,lime,true,true,true,true,true,true,false,true,true,true,42002,7101,6903,9303,10404,20802,20405,15212,7306,11904,5,5,5,5,5,5,5,5,5,5,1
angel,word2vec,true,true,false,true,true,true,true,true,false,true,5600,3701,2001,2516,1801,25612,2402,1002,1604,1410,3,4,2,5,5,5,5,1,5,2,3
Angel,word2vec,false,true,true,true,false,false,false,false,false,true,7502,3101,2000,3601,4301,5800,5501,5700,4800,3401,4,5,4,5,3,3,4,4,5,5,4
Angel,word2vec,false,true,true,true,true,false,false,false,false,false,20574,1642,1333,2580,5285,12356,1438,4348,2997,1438,4,5,4,4,3,4,5,4,4,4,4
Athallah,lime,false,true,true,true,true,true,false,false,false,false,20293,8768,4203,1921,1814,8150,1569,2032,4215,2634,4,4,5,5,5,5,5,5,4,4,4
Aya,word2vec,false,true,true,true,true,false,false,false,false,false,4101,7500,9300,5100,6900,2100,1900,2201,3300,4100,4,4,3,3,4,3,4,4,4,4,5
B,word2vec,false,false,false,false,false,false,false,false,false,false,4414,3015,5432,7334,6627,4625,10741,7054,5521,6231,5,5,5,5,5,5,5,5,5,5,5
Belva,control,true,false,true,true,true,false,false,false,false,false,27832,72947,9870,14692,42729,27543,32042,31547,59347,23258,4,4,4,3,3,4,4,3,3,3,
BhreKheley,control,true,true,true,true,true,false,false,true,false,true,10201,17200,19700,27000,17000,16600,16800,12618,20600,18801,5,5,5,5,5,4,5,1,3,3,
Briant,word2vec,false,false,false,false,true,true,false,false,false,false,10948,7730,21366,2415,4115,2012,2408,5425,1610,9137,4,3,2,4,2,3,4,4,5,5,3
Briant,lime,true,true,true,false,true,false,false,false,false,false,5842,13692,21795,53398,7093,10381,590381,11761,9334,3325,5,3,2,4,3,3,4,5,3,5,4
Briant,lime,true,true,true,true,true,true,false,false,false,false,6028,44128,48851,37718,275606,3712,52205,11951,6042,31695,5,5,4,5,4,5,4,4,3,2,4
Briant,lime,true,false,false,false,false,false,false,false,true,false,15887,156249,8320,5117,4125,5420,9250,17693,39346,6952,4,5,5,5,5,5,5,3,5,5,5
ca,word2vec,false,true,true,false,false,false,false,false,true,false,15505,43517,9541,23066,33171,22469,41337,24031,3413,16779,5,3,3,4,3,4,4,3,4,4,4
casa,word2vec,false,true,false,true,true,true,false,false,false,false,10402,2901,5101,2001,803,1415,3508,1102,1100,1212,4,4,5,4,4,3,5,5,5,5,5
Christian,lime,true,true,true,true,true,true,false,false,false,false,12200,48900,20301,26700,11301,10500,27400,8800,24000,39101,4,4,5,5,5,5,5,5,3,4,5
christian brandon,lime,false,true,true,true,true,true,false,false,false,false,15600,7200,2800,2300,3700,2800,4700,1900,3900,11601,5,5,5,5,5,5,5,5,5,5,5
Christian Putra Mahardika,lime,true,true,true,false,true,false,false,false,false,false,12700,21900,28700,38800,17000,10500,16800,30501,19800,21700,4,2,1,2,3,4,5,3,4,4,2
christina,control,true,true,false,false,true,true,false,false,false,true,14501,30901,29200,12201,9100,13601,8300,8401,12101,16400,4,5,3,4,5,4,3,4,3,3,
Clarissaa,word2vec,true,false,true,true,true,false,false,false,false,false,11626,33264,11837,9758,6218,15684,8821,8817,9235,8924,3,4,5,5,5,3,5,5,3,4,3
Conserali,word2vec,true,true,true,true,true,true,false,false,false,false,4207,6812,2920,1708,3206,3307,19841,20735,6707,9740,5,5,5,5,5,2,3,4,4,3,3
dave,lime,true,true,true,true,true,true,false,true,false,false,6404,1210,1206,602,506,506,2201,601,1100,803,5,3,3,3,3,3,3,3,3,3,5
der,control,true,true,true,true,true,true,false,false,false,false,10001,16401,25404,16200,11202,24302,23807,18405,11903,14007,5,5,4,5,5,3,5,5,5,5,
destia,word2vec,true,true,true,true,true,true,false,false,false,false,12301,3701,10838,29901,18901,21100,12359,21001,12428,13000,4,5,4,5,4,4,4,4,4,4,4
dio,word2vec,true,true,true,true,true,true,false,false,false,false,22703,31512,4211,2306,3213,3312,6404,1503,32608,2705,4,5,4,4,4,4,4,4,4,3,4
discaa,word2vec,false,true,true,true,true,false,false,false,false,false,23901,20700,16100,21700,20901,16001,6200,11000,8800,14401,4,4,4,4,3,3,5,4,4,4,5
dyah,word2vec,true,true,false,true,true,true,false,false,false,false,10200,9200,5300,6500,9000,6800,2200,2800,3400,4401,3,4,4,5,3,3,4,4,5,4,4
ebet,word2vec,true,true,true,true,true,true,false,false,false,false,11500,9500,5201,5700,6000,3701,3701,5301,5300,3800,3,5,4,4,4,4,4,3,4,5,1
Eiffel,lime,true,true,true,true,true,false,false,false,true,false,5702,11700,51300,16700,26800,11200,44600,22500,12600,9500,5,3,4,5,1,5,1,1,1,1,5
ellen,control,true,false,false,false,false,true,true,false,false,true,22953,102047,10380,6431,8197,4035,7781,2269,2892,6218,4,3,3,3,3,4,3,3,2,3,
Erc124,control,true,true,false,true,true,false,true,true,true,true,13501,43600,37902,39001,31809,16600,8500,12200,21200,4202,4,4,4,4,4,4,4,4,4,4,
Estevan,word2vec,true,true,true,true,true,true,true,true,true,true,6800,11700,10701,9101,1300,701,7600,900,11000,2501,4,5,4,4,4,4,4,3,4,3,4
Evigail,word2vec,false,true,true,true,true,true,false,false,false,false,14801,7901,2714,3801,27501,6001,2701,5101,7220,11200,4,5,4,5,4,4,4,3,3,4,4
Febri,word2vec,true,true,true,false,true,false,false,false,false,false,15536,15752,38916,22385,38304,7851,7665,32972,16929,10185,5,5,4,3,4,5,5,4,4,5,4
felissh,word2vec,false,true,false,true,false,false,false,false,false,false,2401,3505,18701,9301,13804,9001,5801,4203,4501,2601,5,5,4,5,5,5,4,4,5,4,5
Fidel,control,true,false,false,true,true,true,false,false,false,false,5200,13900,7600,10100,6100,16100,7200,7500,11300,8900,5,3,3,4,4,3,4,4,3,4,
Fifi Carmenita,word2vec,true,true,true,true,true,true,false,false,false,false,5901,5602,6701,4000,6900,11901,4900,17002,3501,5901,5,4,4,5,5,4,3,4,4,5,5
Figo,lime,true,true,true,true,true,false,false,false,true,false,14201,20306,2001,9605,2102,1612,2901,3900,26513,6116,4,4,5,5,4,4,5,4,3,4,4
Frederick Clarence,control,true,true,false,true,false,false,false,false,false,false,7800,24100,46800,15000,13900,7101,8100,8501,17100,11000,4,3,2,5,4,5,4,3,4,5,
Gabz,word2vec,true,true,true,true,true,true,false,false,false,false,7601,1700,1101,700,3301,1000,13500,8800,6200,8100,3,5,5,5,5,5,2,2,2,2,5
Ger,control,true,true,true,true,false,false,false,true,true,false,11812,10403,19205,14804,8513,8502,8315,22308,13101,2701,5,5,4,4,4,4,5,4,4,4,
Gio,word2vec,true,true,true,true,true,true,true,false,false,false,8800,3401,3301,600,1701,1101,2400,4500,1201,800,4,5,5,5,4,5,2,4,4,4,4
hi,word2vec,false,true,true,true,false,true,false,false,false,false,19914,8912,10504,3200,3602,1101,2802,2208,2601,2601,4,2,4,4,2,3,3,3,3,3,2
jaja,word2vec,true,true,true,false,true,false,false,false,false,true,6400,10101,13701,8200,9801,4200,10600,23800,8901,8301,4,4,1,3,3,3,3,3,3,3,4
Jane,lime,true,true,true,true,true,true,false,false,true,false,13201,63100,92100,30700,17501,17000,25400,54401,57900,34600,5,5,5,4,5,5,5,4,3,3,4
Jeanne,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jenni,word2vec,true,true,true,true,true,true,false,true,true,false,19603,13501,13003,8200,14001,10500,13300,17800,18400,7800,4,5,5,5,5,5,4,3,2,4,5
Jesselynn,lime,true,true,true,true,true,true,false,false,false,false,6210,4612,3812,5516,6409,5413,4103,3806,12916,5817,4,4,5,4,4,4,4,4,3,4,4
Jessi,control,false,false,false,false,false,true,false,true,false,true,16200,29401,21500,40701,27100,7700,14104,28101,7101,6000,4,3,4,3,4,3,4,4,4,2,
John,word2vec,true,true,true,true,true,true,false,false,false,false,3803,4900,23013,8109,6204,7203,13312,29309,26306,9311,4,5,3,5,5,5,5,5,5,5,5
Jonathan E,lime,false,true,true,true,false,false,false,false,false,false,7200,4100,6100,5600,9701,3601,5401,5101,7700,4801,3,5,5,5,3,5,4,3,5,5,5
Jordi,word2vec,true,true,true,true,true,false,false,false,false,false,5700,7900,6502,7200,7300,5600,6801,12901,8000,2700,4,5,4,5,5,3,5,3,3,3,4
Joy,word2vec,true,true,true,true,false,false,false,false,false,false,11891,29735,41436,19448,14321,9159,15521,17851,11988,5535,5,5,5,4,5,5,5,5,5,5,5
justine carneggie,control,false,true,false,true,false,false,false,false,false,false,3125,3968,1199,12710,32176,3728,13097,9117,9240,5042,4,5,5,4,4,3,5,5,5,5,
