name,group_type,filled_at,filled_day,filled_month,filled_year,is_phishing_email_1,is_phishing_email_2,is_phishing_email_3,is_phishing_email_4,is_phishing_email_5,is_phishing_email_6,is_phishing_email_7,is_phishing_email_8,is_phishing_email_9,is_phishing_email_10,response_time_email_1,response_time_email_2,response_time_email_3,response_time_email_4,response_time_email_5,response_time_email_6,response_time_email_7,response_time_email_8,response_time_email_9,response_time_email_10,confidence_level_email_1,confidence_level_email_2,confidence_level_email_3,confidence_level_email_4,confidence_level_email_5,confidence_level_email_6,confidence_level_email_7,confidence_level_email_8,confidence_level_email_9,confidence_level_email_10,helpfulness
AA,word2vec,2026-06-04 12:11:29.167706+00,4,6,2026,true,true,true,true,true,true,false,false,false,false,24201,18406,76114,43814,46413,34704,14416,59414,52902,39901,4,4,3,3,3,1,4,3,3,3,3
Abraham,lime,2026-06-08 11:00:58.786492+00,8,6,2026,false,true,true,false,true,false,false,false,false,false,13311,4301,8605,12111,6801,6501,5203,9803,9906,6907,4,4,4,4,4,4,5,5,4,4,4
Aca,word2vec,2026-06-02 15:30:48.898436+00,2,6,2026,true,true,true,true,true,true,false,false,false,false,3432,5440,5246,6351,2925,8258,6254,3530,3120,2322,5,5,5,5,5,5,5,5,5,5,5
Afi,control,2026-06-15 09:17:55.575287+00,15,6,2026,true,false,true,true,false,false,false,false,false,false,11000,6301,4201,11100,7100,3000,6700,8300,3301,3300,4,4,4,4,4,4,4,4,4,4,
Ahza,control,2026-06-08 09:41:07.937831+00,8,6,2026,true,false,false,true,true,false,false,false,false,false,15601,46501,20801,38201,15300,15701,14701,11801,42200,11901,4,2,4,3,4,5,5,4,3,5,
Aji,control,2026-06-15 09:38:11.505497+00,15,6,2026,true,true,true,false,true,true,false,true,true,false,11000,2724,13134,2018,2521,1611,6762,3123,1614,3530,4,5,3,5,3,4,5,4,3,4,
Alex,lime,2026-06-04 02:17:53.217592+00,4,6,2026,false,true,true,true,true,true,false,false,false,false,17240,37023,5752,29400,3838,14632,7873,10996,8579,40985,4,5,5,5,5,5,5,5,3,4,5
Alicee,control,2026-06-08 09:30:38.317892+00,8,6,2026,false,true,true,true,true,false,false,false,false,false,43800,29700,63200,24000,53000,9500,50501,19900,14500,14501,3,5,5,5,5,5,5,5,5,1,
almaas,word2vec,2026-06-02 14:36:31.676052+00,2,6,2026,true,true,true,true,false,false,false,false,false,false,5006,6401,22300,16913,10305,11501,10401,7511,5504,4807,5,5,4,5,3,2,5,5,5,5,2
almer aji valentino,lime,2026-06-09 13:00:29.547795+00,9,6,2026,true,true,false,false,true,false,false,false,false,false,6603,29501,15315,18604,75401,20302,26001,10200,8606,5701,5,1,4,3,3,5,5,5,2,5,5
Amel,word2vec,2026-06-02 16:07:06.48986+00,2,6,2026,true,true,false,true,false,true,false,false,false,false,10085,12204,7573,10992,13310,30746,15111,10487,9979,7370,3,4,4,5,4,3,5,5,4,5,4
Anabelle Elizabeth,lime,2026-06-05 13:16:24.262231+00,5,6,2026,true,false,true,true,true,false,false,false,false,false,9237,27024,6845,9757,2270,9962,15689,15794,5702,12252,4,2,3,4,5,3,4,4,4,4,5
